Program Code,Program URL,Class ID,Class Name,Catalogue,Units,Prerequisites,Restrictions,Class Section,Time,Days,Class Type,Instructor
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 234:, Academic and Professional Speaking Skills II ,Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10106R,2:00-3:20pm,"Mon, Wed",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 235:, Academic and Professional Writing Skills II ,Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10111R,11:00-12:20pm,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 242:, High Intermediate Pronunciation ,Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,(2.0 units),Not available,Not available,10118R,8:30-9:50am,"Mon, Wed",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 244:, Academic and Professional Speaking Skills III ,Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10122R,11:00-12:20pm,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 245:, Academic and Professional Writing III ,Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10131R,9:30-10:50am,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 252:, Advanced Pronunciation ,Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.,(2.0 units),Not available,Not available,10143R,2:00-3:20pm,"Mon, Wed",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 254:, Academic and Professional Speaking Skills IV ,Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10145R,2:00-3:20pm,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 255:, Academic and Professional Writing Skills IV ,Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,"(2.0 units, max 6)",Not available,Not available,10150R,3:30-4:50pm,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 256:, High Intermediate Oral Communication for ITAs ,Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the high intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.,(3.0 units),Not available,Not available,10152D,10:00-11:50am,"Mon, Wed",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 270:, Advanced Oral Communication for ITAs ,"Classroom interaction skills for International Teaching Assistants, with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.",(3.0 units),Not available,Not available,10154D,10:00-11:50am,"Mon, Wed",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 271:, Language Tutorial for International Teaching Assistants ,Individualized tutorial on the language and oral skills used by International Teaching Assistants in the performance of his or her duties. Based on observation and feedback. Open to International Teaching Assistants only. Graded CR/NC.,(2.0 units),Not available,Not available,10159D,8:00-9:50am,Friday,Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 274:, Advanced Academic and Professional Spoken English ,"Required for International Teaching Assistants (ITAs) who, after taking the ITA Oral Interview Exam, are determined to need the particular skills taught in this course.",(2.0 units),Not available,Not available,10165D,12:30-1:50pm,"Tue, Thu",Lecture,
ALI,https://classes.usc.edu/term-20241/classes/ALI/,ALI 275:, Writing for Publication and Dissertations ,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.",(2.0 units),Not available,Not available,10171D,3:30-4:50pm,"Mon, Wed",Lecture,Richard Jones
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 101mgw:, Race and Class in Los Angeles ,"Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.",(4.0 units),Not available,Not available,10310R,9:30-10:50am,"Tue, Thu",Lecture,Chrisshonna Nieva
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 135mgw:, Peoples and Cultures of the Americas ,"An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.",(4.0 units),Not available,Not available,10320R,11:00-12:20pm,"Tue, Thu",Lecture,Alicia Chavez
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 140gw:, Borderlands in a Global Context ,"Interdisciplinary survey of theory and borderland site cases, national sentiment, linguistic and cultural conflicts, exploration of local, regional, and national identities in cultural contact zones.",(4.0 units),Not available,Not available,10329R,9:30-10:50am,"Tue, Thu",Lecture-Discussion,Nalya Rodriguez
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 150gw:, The American War in Viet Nam ,Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),(4.0 units),Not available,Not available,10338R,11:00-12:20pm,"Tue, Thu",Lecture,Rick Berg
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 200mg:, Introduction to American Studies and Ethnicity ,"Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.",(4.0 units),Not available,Not available,10347R,12:30-1:50pm,"Tue, Thu",Lecture,Alicia Chavez
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 204g:, Introduction to Native Studies ,"Overview of Native American studies, including Indigenous intellectualism and resistance through language revitalization, film-making, and the recognition of one another.",(4.0 units),Not available,Not available,10359R,10:00-11:50am,"Mon, Wed",Lecture,Chris Finley
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 205g:, Introduction to American Popular Culture ,"Examines the relation between U.S. national culture, race, and popular culture.",(4.0 units),Not available,Not available,10360R,12:30-1:50pm,"Tue, Thu",Lecture,Joshua Mitchell
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 206mg:, The Politics and Culture of the 1960s ,Examines political and cultural change in the United States during the decade of the 1960s.,(4.0 units),Not available,Not available,10361R,2:00-3:20pm,"Tue, Thu",Lecture-Discussion,Chris Finley
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 211g:, Sex in America ,"Explores how the proliferation of sexual cultures, identities, politics shape everyday lives in the United States and beyond.",(4.0 units),Not available,Not available,10300R,2:00-3:20pm,"Mon, Wed",Lecture,Nayan Shah
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 230g:, Introduction to African American Studies ,Examines the socio-historical and political imperatives of multi-disciplinary scholarship foundational to the study of African Americans.,(4.0 units),Not available,Not available,10303R,10:00-10:50am,Friday,Discussion,Aurelien Davennes
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 250mgw:, The African Diaspora ,"History, political-economy and aesthetics of the African Diaspora with emphasis on Latin America, the Caribbean, Europe and Africa.",(4.0 units),Not available,Not available,10372R,9:30-10:50am,"Tue, Thu",Lecture,Lydie Moudileno
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 274mw:, Exploring Ethnicity through Film ,Examination of the constructions of American ethnicity/race in film.,(4.0 units),Not available,Not available,10390R,12:00-1:50pm,"Mon, Wed",Lecture,Kara Keeling
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 301gp:," America, the Frontier, and the New West ","Introduction to an interdisciplinary study of American political, cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200, ENGL 263",(4.0 units),Not available,Not available,10408R,2:00-3:50pm,"Mon, Wed",Lecture,Chrisshonna Nieva
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 312:, Documenting Latinx Los Angeles Food Cultures ,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",(4.0 units),Not available,Not available,10831R,2:00-4:50pm,Wednesday,Lecture,Xochitl Ruiz
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 320:, Social Construction of Race and Citizenship ,"Comparative perspective on the social construction of race and citizenship. Social, economic and political experiences of selected groups in the U.S. are examined.",(4.0 units),Not available,Not available,10421R,9:30-10:50am,"Tue, Thu",Lecture,Joshua Mitchell
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 325gw:, The Middle East in Hollywood ,"An examination of how Hollywood representations of the Middle East have changed over the last 100 years, focusing on how representations influence perceptions and policies.",(4.0 units),Not available,Not available,10423R,11:00-12:20pm,"Tue, Thu",Lecture,Evelyn Alsultany
